id;codigoBarras;nombre;imagen;descripcion;receta;idDepartamento;created_at;updated_at
4;7501054504528;Labello Hydro;uploads/7fWN1qwHJkhXCQ2p2T4cFQqouk6rd8CeVQR5d2j2.jpg;Labello Hydro;NO;3;0000-00-00 00:00:00;2021-06-09 15:58:08
5;75020011163850;A-D-KAN SOLUCION;uploads/gUf1u3m3fiGFCumeuPHc5TDmRs9fDpGuZsMwRWPr.jpg;A-D-KAN SOLUCION;NO;5;0000-00-00 00:00:00;2021-06-09 16:05:43
6;759684437151;ACETONA JALOMA 120ml;uploads/EDYzuLDwet6BFM0JIPj03LWSs9tf4DRaIynaZQf0.jpg;ACETONA JALOMA 120ml;NO;3;0000-00-00 00:00:00;2021-06-09 15:58:27
29;7501022104255;Aceite Corporal Ricitos De Oro 100ml;uploads/Xt3Ks2UQhxq0jJMteyqxBjeRMabqlsOYu6zDE8FX.jpg;Aceite Corporal Ricitos De Oro 100ml;NO;8;0000-00-00 00:00:00;2021-06-09 16:02:23
58;7501446000010;Acido Folico Tabletas;uploads/qz7RIO73cnnyXuWxSJ4Mbwh0DwnBYsQOlJUiurl3.jpg;Acido Folico Tabletas;NO;5;0000-00-00 00:00:00;2021-06-09 16:06:02
116;759684315152;Agua Oxigenada De 240 Ml;uploads/Gyr0TocA9SvdjRruz1fjgS02nwqG7sacm9wh3ewy.jpg;Agua Oxigenada De 240 Ml;NO;3;0000-00-00 00:00:00;2021-06-09 15:58:41
154;ALIREN JARABE;Aliren Jarabe;uploads/OoZ0Shtbz0aIw8IySq71grQgP7sqI3Zdh2QIr3WK.jpg;Aliren Jarabe;NO;5;0000-00-00 00:00:00;2021-06-09 16:06:21
169;7502003381146;Ambroxol /Oxeladina Jarabe Infantil F1;uploads/DSdMHy9aBBeOr6BnVyg2ARr6u7yw2rx2oDGACeng.jpg;Ambroxol /Oxeladina Jarabe Infantil F1;NO;5;0000-00-00 00:00:00;2021-06-09 16:06:39
171;7501277060177;Ambroxol Gotas;uploads/P315GZkLkFGV4wc65sw0p5hDauq9Mw3BkHn2btZP.jpg;Ambroxol Gotas;NO;5;0000-00-00 00:00:00;2021-06-09 16:06:54
184;7503001007281;Amoxicilina Capsulas 250 Mg;uploads/WFLnM8u5arayDcVrFuNXXFb5LM895fHwysmGGPxm.jpg;Amoxicilina Capsulas 250 Mg;NO;5;0000-00-00 00:00:00;2021-06-09 16:07:09
201;7503000422665;Ampicilina Tabletas 500 Mg;uploads/ZkDXoZZgS8gpNddk8LrBeMNclqeTXe3XpYYM6uha.png;Ampicilina Tabletas 500 Mg;NO;5;0000-00-00 00:00:00;2021-06-09 16:07:23
