Codigo	Descripcion	Precio Costo	Precio Venta	Precio Mayoreo	Inventario	Inv. Minimo	Departamento
7.50174E+12	 Desodorante Adidas Men Team	$48.00	$48.00	$48.00	0	0	PERFUMERIA
7.70203E+12	 Enjuague Bucal Listerine Extreme 236ml 	$48.00	$48.00	$48.00	1	0	PERFUMERIA
7.50105E+12	 Labello Clasico	$48.00	$48.00	$48.00	4	0	PERFUMERIA
7.50105E+12	 Labello Hydro	$48.00	$48.00	$48.00	0	0	PERFUMERIA
7.502E+13	A-D-KAN SOLUCION	$65.00	$65.00	$65.00	2	0	GENERICOS
7.59684E+11	ACETONA JALOMA 120ml	$23.00	$23.00	$23.00	3	0	PERFUMERIA
7.50044E+12	ACONDICIONADOR FUERZA Y RECOSTRUCCION	$65.00	$65.00	$65.00	1	0	PERFUMERIA
7.50044E+12	ACONDICIONADOR PANTENE	$65.00	$65.00	$65.00	0	0	- Sin Departamento -
7.50117E+12	ADerogyl  Sol. Infantil 30ml	$165.00	$165.00	$165.00	2	0	PATENTE
 AJEDREZ 	AJEDREZ	$95.00	$95.00	$95.00	1	0	PAPELERIA
7.59684E+11	ALGODON 10 GR	$5.00	$5.00	$5.00	0	0	MATERIAL DE CURACION
7.503E+12	ALGODON QUIRMEX 200G	$40.00	$40.00	$40.00	1	0	MATERIAL DE CURACION
7.503E+12	ALGODON QUIRMEX 300G	$65.00	$65.00	$65.00	1	0	MATERIAL DE CURACION
 ALMENDRAS 	ALMENDRAS	$11.00	$11.00	$11.00	2	0	VENTA LIBRE
 ALOEYA 	ALOEYA 	$15.00	$15.00	$15.00	0	0	VENTA LIBRE
 AMPER	AMPER	$16.00	$16.00	$16.00	10	0	VENTA LIBRE
 AQUAFRUT	AQUAFRUT 1.5 LTS	$20.00	$20.00	$20.00	4	0	VENTA LIBRE
 ARCOIRIS 	ARCOIRIS 	$13.00	$13.00	$13.00	3	0	VENTA LIBRE
 ARIZONA	ARIZONA 	$15.00	$15.00	$15.00	5	0	VENTA LIBRE
 ABACO BARRILITO	Abaco Barrilito	$35.00	$35.00	$35.00	3	0	PAPELERIA
 ABACO CHINO 4 POSTES	Abaco Chino De Madera 4 Postes	$40.00	$40.00	$40.00	1	0	PAPELERIA
 ABACO CHINO  5POSTES	Abaco Chino De Madera 5 Postes	$45.00	$45.00	$45.00	1	0	PAPELERIA
 ABACO CHINO 	Abaco Chino De Maderas 3 Postes	$35.00	$35.00	$35.00	1	0	PAPELERIA
 ABACO DE PLASTICO 	Abaco De Plastico Chico	$20.00	$20.00	$20.00	1	0	PAPELERIA
 ABACO DE PLASTICO GR	Abaco De Plastico Grande	$40.00	$40.00	$40.00	2	0	PAPELERIA
7.50222E+12	Abatelenguas Bolsa	$15.00	$15.00	$15.00	23	0	MATERIAL DE CURACION
 ABATELENGUAS SUELTO	Abatelenguas Suelto	$1.00	$1.00	$1.00	25	0	MATERIAL DE CURACION
4.01563E+12	Accu-Chek Performa Blood Glucose Meter	$695.00	$695.00	$695.00	1	0	MATERIAL DE CURACION
7.50435E+11	Ace Suavisante	$30.00	$30.00	$30.00	1	0	PERFUMERIA
7.50102E+12	Aceite Corporal Ricitos De Oro 100ml	$23.00	$23.00	$23.00	0	0	BEBES
 ACEITE DE AGUACATE	Aceite De Aguacate	$23.00	$23.00	$23.00	7	0	rebotica
 ACEITE DE ALMENDRAS	Aceite De Almendras	$23.00	$23.00	$23.00	1	0	rebotica
 ACEITE DE ARGAN	Aceite De Argan	$20.00	$20.00	$20.00	0	0	rebotica
7.50225E+12	Aceite De Coco	$22.00	$22.00	$22.00	0	0	rebotica
 ACEITE DE EUCALIPTO	Aceite De Eucalipto 	$20.00	$20.00	$20.00	2	0	rebotica
 ACEITE DE LIMON	Aceite De Limon	$22.00	$22.00	$22.00	6	0	rebotica
 ACEITE DE MAMEY	Aceite De Mamey	$20.00	$20.00	$20.00	2	0	rebotica
 ACEITE DE OLIVO 	Aceite De Olivo 	$23.00	$23.00	$23.00	10	0	rebotica
 ACEITE DE PALO	Aceite De Palo	$20.00	$20.00	$20.00	6	0	rebotica
 ACEITE DE RICINO	Aceite De Ricino	$20.00	$20.00	$20.00	4	0	rebotica
 ACEITE DE ROMERO	Aceite De Romero	$20.00	$20.00	$20.00	1	0	rebotica
 ACEITE DE UVA	Aceite De Uva	$22.00	$22.00	$22.00	4	0	rebotica
 ACEITE DESINFLAMOTOR	Aceite Desinflamatorio	$20.00	$20.00	$20.00	3	0	rebotica
7.50104E+12	Aceite Mennen 100ml	$33.00	$33.00	$33.00	3	0	BEBES
7.50104E+12	Aceite Mennen 200ml	$60.00	$60.00	$60.00	2	0	BEBES
7.50104E+12	Aceite Mennen 50ml	$25.00	$25.00	$25.00	2	0	BEBES
