costo,precio,existencia,minimoStock,idSucursal,idProducto,created_at,updated_at
23.00,23.00,0,0,1,1,,
33.00,33.00,3,0,1,2,,
60.00,60.00,2,0,1,3,,
25.00,25.00,3,0,1,4,,
18.00,18.00,3,0,1,5,,
65.00,65.00,0,0,1,6,,
13.00,13.00,0,0,1,7,,
20.00,20.00,1,0,1,8,,
50.00,50.00,0,0,1,9,,
16.00,16.00,0,0,1,10,,
20.00,20.00,0,0,1,11,,
20.00,20.00,1,0,1,12,,
52.00,52.00,0,0,1,13,,
20.00,20.00,0,0,1,14,,
48.00,48.00,0,0,1,15,,
20.00,20.00,1,0,1,16,,
13.00,13.00,0,0,1,17,,
20.00,20.00,2,0,1,18,,
22.00,22.00,1,0,1,19,,
45.00,45.00,0,0,1,20,,
15.00,15.00,0,0,1,21,,
20.00,20.00,0,0,1,22,,
20.00,20.00,1,0,1,23,,
20.00,20.00,1,0,1,24,,
20.00,20.00,1,0,1,25,,
20.00,20.00,1,0,1,26,,
16.00,16.00,0,0,1,27,,
20.00,20.00,0,0,1,28,,
22.00,22.00,0,0,1,29,,
22.00,22.00,0,0,1,30,,
22.00,22.00,1,0,1,31,,
29.00,29.00,0,0,1,32,,
39.00,39.00,0,0,1,33,,
45.00,45.00,0,0,1,34,,
22.00,22.00,1,0,1,35,,
20.00,20.00,0,0,1,36,,
19.00,19.00,0,0,1,37,,
25.00,25.00,3,0,1,38,,
15.00,15.00,0,0,1,39,,
65.00,65.00,0,0,1,40,,
115.00,115.00,0,0,1,41,,
20.00,20.00,0,0,1,42,,
38.00,38.00,0,0,1,43,,
5.00,5.00,4,0,1,44,,
56.00,56.00,0,0,1,45,,
8.00,8.00,1,0,1,46,,
34.00,34.00,0,0,1,47,,
18.00,18.00,10,0,1,48,,
22.00,22.00,10,0,1,49,,
10.00,10.00,0,0,1,50,,
45.00,45.00,0,0,1,51,,
52.00,52.00,1,0,1,52,,
25.00,25.00,0,0,1,53,,
150.00,150.00,0,0,1,54,,
45.00,45.00,3,0,1,55,,
36.00,36.00,0,0,1,56,,
28.00,28.00,0,0,1,57,,
20.00,20.00,0,0,1,58,,
16.00,16.00,0,0,1,59,,
15.00,15.00,0,0,1,60,,
36.00,36.00,0,0,1,61,,
19.00,19.00,0,0,1,62,,
30.00,30.00,0,0,1,63,,
25.00,25.00,0,0,1,64,,
15.00,15.00,0,0,1,65,,
15.00,15.00,0,0,1,66,,
12.00,12.00,0,0,1,67,,
14.00,14.00,0,0,1,68,,
16.00,16.00,0,0,1,69,,
55.00,55.00,0,0,1,70,,
46.00,46.00,0,0,1,71,,
15.00,15.00,0,0,1,72,,
19.00,19.00,0,0,1,73,,
20.00,20.00,0,0,1,74,,
18.00,18.00,0,0,1,75,,
19.00,19.00,0,0,1,76,,
19.00,19.00,0,0,1,77,,
52.00,52.00,0,0,1,78,,
100.00,100.00,0,0,1,79,,
100.00,100.00,0,0,1,80,,
150.00,150.00,0,0,1,81,,
12.00,12.00,0,0,1,82,,
25.00,25.00,0,0,1,83,,
16.00,16.00,0,0,1,84,,
20.00,20.00,0,0,1,85,,
7.00,7.00,0,0,1,86,,
8.00,8.00,4,0,1,87,,
8.00,8.00,0,0,1,88,,
